ï»¿"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C03434V04142","Nationality","C03686V04429","PPSN Validity","C03919V04671","Gender","C04477V05260","Field of Study","UNIT","VALUE"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","10","Male","201","Dentistry","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","10","Male","401","Medical Science","Number","3"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","10","Male","202","Medicine","Number","36"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","10","Male","30","Nursing and Midwifery","Number","6"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","10","Male","501","Occupational Therapy","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","10","Male","60","Pharmacy","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","10","Male","504","Physiotherapy","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","10","Male","402","Radiography and Radiation Therapy","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","10","Male","702","Social Care","Number","6"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","10","Male","701","Social Work","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","10","Male","10","Speech and Language Therapy","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","10","Male","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","20","Female","201","Dentistry","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","20","Female","401","Medical Science","Number","3"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","20","Female","202","Medicine","Number","24"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","20","Female","30","Nursing and Midwifery","Number","48"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","20","Female","501","Occupational Therapy","Number","3"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","20","Female","60","Pharmacy","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","20","Female","504","Physiotherapy","Number","3"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","20","Female","402","Radiography and Radiation Therapy","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","20","Female","702","Social Care","Number","45"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","20","Female","701","Social Work","Number","9"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","20","Female","10","Speech and Language Therapy","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","20","Female","V52","Dietetics, Optometry and Podiatry","Number","3"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","-","All genders","201","Dentistry","Number","3"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","-","All genders","401","Medical Science","Number","6"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","-","All genders","202","Medicine","Number","60"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","-","All genders","30","Nursing and Midwifery","Number","54"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","-","All genders","501","Occupational Therapy","Number","3"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","-","All genders","60","Pharmacy","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","-","All genders","504","Physiotherapy","Number","3"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","-","All genders","402","Radiography and Radiation Therapy","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","-","All genders","702","Social Care","Number","51"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","-","All genders","701","Social Work","Number","9"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","-","All genders","10","Speech and Language Therapy","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","10","PPSN - Available","-","All genders","V52","Dietetics, Optometry and Podiatry","Number","3"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","10","Male","201","Dentistry","Number","6"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","10","Male","401","Medical Science","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","10","Male","202","Medicine","Number","249"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","10","Male","30","Nursing and Midwifery","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","10","Male","501","Occupational Therapy","Number","6"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","10","Male","60","Pharmacy","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","10","Male","504","Physiotherapy","Number","30"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","10","Male","402","Radiography and Radiation Therapy","Number","3"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","10","Male","702","Social Care","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","10","Male","701","Social Work","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","10","Male","10","Speech and Language Therapy","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","10","Male","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","20","Female","201","Dentistry","Number","12"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","20","Female","401","Medical Science","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","20","Female","202","Medicine","Number","270"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","20","Female","30","Nursing and Midwifery","Number","15"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","20","Female","501","Occupational Therapy","Number","39"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","20","Female","60","Pharmacy","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","20","Female","504","Physiotherapy","Number","66"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","20","Female","402","Radiography and Radiation Therapy","Number","6"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","20","Female","702","Social Care","Number","3"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","20","Female","701","Social Work","Number","6"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","20","Female","10","Speech and Language Therapy","Number","3"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","20","Female","V52","Dietetics, Optometry and Podiatry","Number","6"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","-","All genders","201","Dentistry","Number","18"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","-","All genders","401","Medical Science","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","-","All genders","202","Medicine","Number","519"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","-","All genders","30","Nursing and Midwifery","Number","18"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","-","All genders","501","Occupational Therapy","Number","45"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","-","All genders","60","Pharmacy","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","-","All genders","504","Physiotherapy","Number","96"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","-","All genders","402","Radiography and Radiation Therapy","Number","9"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","-","All genders","702","Social Care","Number","6"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","-","All genders","701","Social Work","Number","6"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","-","All genders","10","Speech and Language Therapy","Number","3"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","20","PPSN - Missing","-","All genders","V52","Dietetics, Optometry and Podiatry","Number","6"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","-","PPSN - All","10","Male","201","Dentistry","Number","6"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","-","PPSN - All","10","Male","401","Medical Science","Number","3"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","-","PPSN - All","10","Male","202","Medicine","Number","285"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","-","PPSN - All","10","Male","30","Nursing and Midwifery","Number","6"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","-","PPSN - All","10","Male","501","Occupational Therapy","Number","6"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","-","PPSN - All","10","Male","60","Pharmacy","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","-","PPSN - All","10","Male","504","Physiotherapy","Number","30"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","-","PPSN - All","10","Male","402","Radiography and Radiation Therapy","Number","3"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","-","PPSN - All","10","Male","702","Social Care","Number","6"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","-","PPSN - All","10","Male","701","Social Work","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","-","PPSN - All","10","Male","10","Speech and Language Therapy","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","-","PPSN - All","10","Male","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","-","PPSN - All","20","Female","201","Dentistry","Number","15"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","-","PPSN - All","20","Female","401","Medical Science","Number","3"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","-","PPSN - All","20","Female","202","Medicine","Number","294"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","-","PPSN - All","20","Female","30","Nursing and Midwifery","Number","66"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","-","PPSN - All","20","Female","501","Occupational Therapy","Number","42"
"HGO07C01","Number of Graduates","2018","2018","IE05","Non-Irish","-","PPSN - All","20","Female","60","Pharmacy","Number",""
